date,contract,total_oi
2026-06-15,CU2612,33341
2026-06-15,CU2701,12556
2026-06-15,CU2702,5844
2026-06-15,CU2703,12750
2026-06-15,CU2704,7289
2026-06-15,CU2705,1937
2026-06-16,CU2607,135351
2026-06-16,CU2608,136524
2026-06-16,CU2609,91995
2026-06-16,CU2610,34112
2026-06-16,CU2611,16921
2026-06-16,CU2612,33040
2026-06-16,CU2701,12534
2026-06-16,CU2702,5847
2026-06-16,CU2703,12817
2026-06-16,CU2704,7291
2026-06-16,CU2705,2014
2026-06-16,CU2706,17
2026-06-17,CU2607,124308
2026-06-17,CU2608,143434
2026-06-17,CU2609,94749
2026-06-17,CU2610,35778
2026-06-17,CU2611,17312
2026-06-17,CU2612,33196
2026-06-17,CU2701,12644
2026-06-17,CU2702,5858
2026-06-17,CU2703,12796
2026-06-17,CU2704,7274
2026-06-17,CU2705,2025
2026-06-17,CU2706,25
2026-06-18,CU2607,112863
2026-06-18,CU2608,146280
2026-06-18,CU2609,96163
2026-06-18,CU2610,36627
2026-06-18,CU2611,17529
2026-06-18,CU2612,33611
2026-06-18,CU2701,12652
2026-06-18,CU2702,6122
2026-06-18,CU2703,12797
2026-06-18,CU2704,7284
2026-06-18,CU2705,2067
2026-06-18,CU2706,74
2026-06-22,CU2607,106812
2026-06-22,CU2608,147012
2026-06-22,CU2609,97943
2026-06-22,CU2610,37535
2026-06-22,CU2611,17822
2026-06-22,CU2612,33805
2026-06-22,CU2701,12711
2026-06-22,CU2702,6165
2026-06-22,CU2703,12797
2026-06-22,CU2704,7467
2026-06-22,CU2705,2259
2026-06-22,CU2706,627
2026-06-23,CU2607,98424
2026-06-23,CU2608,148166
2026-06-23,CU2609,102155
2026-06-23,CU2610,38766
2026-06-23,CU2611,18407
2026-06-23,CU2612,34090
2026-06-23,CU2701,13147
2026-06-23,CU2702,6342
2026-06-23,CU2703,13023
2026-06-23,CU2704,7620
2026-06-23,CU2705,2229
2026-06-23,CU2706,863
2026-06-24,CU2607,88365
2026-06-24,CU2608,156327
2026-06-24,CU2609,105296
2026-06-24,CU2610,40672
2026-06-24,CU2611,19127
2026-06-24,CU2612,34935
2026-06-24,CU2701,13545
2026-06-24,CU2702,6380
2026-06-24,CU2703,13147
2026-06-24,CU2704,7726
2026-06-24,CU2705,2496
2026-06-24,CU2706,991
2026-06-25,CU2607,79117
2026-06-25,CU2608,164606
2026-06-25,CU2609,113388
2026-06-25,CU2610,43270
2026-06-25,CU2611,21434
2026-06-25,CU2612,37238
2026-06-25,CU2701,14563
2026-06-25,CU2702,6951
2026-06-25,CU2703,13386
2026-06-25,CU2704,8040
2026-06-25,CU2705,2858
2026-06-25,CU2706,1367
2026-06-26,CU2607,66162
2026-06-26,CU2608,159247
2026-06-26,CU2609,120696
2026-06-26,CU2610,44345
2026-06-26,CU2611,22037
2026-06-26,CU2612,37291
2026-06-26,CU2701,14766
2026-06-26,CU2702,6969
2026-06-26,CU2703,13344
2026-06-26,CU2704,8027
2026-06-26,CU2705,2871
2026-06-26,CU2706,1468
2026-06-29,CU2607,56845
2026-06-29,CU2608,154336
2026-06-29,CU2609,126734
2026-06-29,CU2610,46244
2026-06-29,CU2611,22542
2026-06-29,CU2612,38464
2026-06-29,CU2701,14724
2026-06-29,CU2702,7049
2026-06-29,CU2703,13389
2026-06-29,CU2704,8040
2026-06-29,CU2705,2940
2026-06-29,CU2706,1491
2026-06-30,CU2607,48605
2026-06-30,CU2608,155574
2026-06-30,CU2609,127952
2026-06-30,CU2610,47040
2026-06-30,CU2611,24629
